Year_Month,Total_Sales,Total_Shipping,Total_Profit,Shipping_Ratio,Profit_Margin
2011-01,102561,10820.328,8558.784459999999,0.10550138941702986,0.08345067286785424
2011-02,95696,11054.333,11745.57548,0.11551509989968234,0.12273841623474335
2011-03,147910,13232.7755,15825.458760000001,0.0894650496923805,0.1069938392265567
2011-04,120094,13377.15,13127.52558,0.11138899528702516,0.10931042000432994
2011-05,151106,17062.176,12718.0065,0.11291527801675645,0.08416612510423147
2011-06,223382,24751.002,25027.57102,0.11080123734231048,0.11203933629388223
2011-07,120168,12383.797,6961.641299999999,0.10305403268757074,0.057932571899340916
2011-08,211139,22562.599,21809.82172,0.106861352000341,0.10329603588157564
2011-09,281765,28886.131,34448.24074,0.10251852075310987,0.12225876436037124
2011-10,194333,20746.695,24946.49706,0.10675847642963367,0.1283698448539363
2011-11,292207,33725.798,35062.94842,0.1154174882874127,0.11999352657533872
2011-12,319150,35667.561,38708.7405,0.11175798527338243,0.12128698261005796
2012-01,145335,14801.355,12269.04614,0.10184301785529982,0.08441907413905804
2012-02,103898,11338.046,14373.75618,0.10912670118770333,0.1383448784384685
2012-03,167015,16508.937,18075.11936,0.0988470317037392,0.10822452689878155
2012-04,169840,17272.112,19187.86522,0.10169637305699482,0.11297612588318418
2012-05,213971,24516.819,29183.24774,0.11458010197643606,0.13638879913633156
2012-06,262127,28948.327,37633.32062,0.11043626562696708,0.14356903569643722
2012-07,141882,17070.075,14025.96442,0.12031177316361484,0.09885654572109218
2012-08,299916,31621.732,42909.72408,0.10543529521599382,0.14307247389268996
2012-09,281503,27376.938,24885.83184,0.097252739757658,0.08840343385328042
2012-10,252858,25351.983,33034.0032,0.10026173979071258,0.13064250765251642
2012-11,312197,32221.649,30251.0085,0.10320934858438742,0.09689717870447186
2012-12,326951,36462.851,31586.391799999998,0.11152390113503248,0.09660894690641716
2013-01,207228,22322.122,29052.28118,0.10771769258980446,0.1401947670199008
2013-02,172486,17439.154,24154.4576,0.10110475053047782,0.14003720649791868
2013-03,206849,22046.45,24854.70302,0.10658233784064705,0.12015868106686521
2013-04,185367,19921.683,19726.32894,0.1074715726100115,0.10641769538267329
2013-05,258791,28081.561,27166.8337,0.10851057803401201,0.1049759601377173
2013-06,401538,43451.366,45097.512,0.10821233855824355,0.11231194058843746
2013-07,239792,25165.02236,28933.8907,0.10494521235070393,0.12066245204176954
2013-08,322075,35287.048,30099.71056,0.1095615865869751,0.09345559438019095
2013-09,377313,38684.312,40110.05168,0.10252578628353648,0.106304451953683
2013-10,283669,30285.319,41922.02948,0.10676287856621626,0.14778502226186152
2013-11,364892,40535.478,47618.9237,0.11108897427183935,0.13050141877596658
2013-12,385860,41329.229,48198.50762,0.10710938941585031,0.12491190488778313
2014-01,265850,27421.168,31120.273259999998,0.10314526236599587,0.1170595195034794
2014-02,204381,21486.487,19684.627660000002,0.10512957173122747,0.09631339341719633
2014-03,274116,28108.452540000002,38224.55914,0.1025421811933634,0.1394466544820441
2014-04,253122,27331.635,25858.033199999998,0.10797810937018512,0.10215640363145044
2014-05,289885,32187.479,34995.798240000004,0.11103533815133587,0.12072303927419495
2014-06,426184,45432.053,50181.996699999996,0.10660196769470463,0.11774725634937022
2014-07,267763,29850.794,31557.56098,0.11148214652509869,0.11785631689217703
2014-08,450351,45694.203,53216.37976,0.10146353177854607,0.11816645185644087
2014-09,468159,51605.555,59483.5999,0.11023082969674833,0.1270585418629141
2014-10,406857,42697.376,55202.518260000004,0.10494443010689258,0.13568039448749808
2014-11,533055,57533.840000000004,59598.479179999995,0.10793227715714139,0.11180549695622402
2014-12,460318,51156.747,45042.14418,0.11113349249866397,0.09785006056682555
